ID,Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,lon,lat
50895,503 West 170 Street HDFC,503 West 170 Street HDFC,Housing,503 West 170 Street HDFC,503 W 170 St,,,,,,,,,,-73.936552,40.841312
50896,152 West 144 St HDFC,152 West 144 St HDFC,Housing,152 West 144 St HDFC,152 West 144 Street,,,,,,,,,,-73.938625,40.82054
50897,2041 Fifth Avenue HDFC,2041 Fifth Avenue HDFC,Housing,2041 Fifth Avenue HDFC,2041 5th Avenue,,,,,,,,,,-73.941503,40.807143
50898,633 Park Place HDFC,633 Park Place HDFC,Housing,633 Park Place HDFC,633 Park Place,,,,,,,,,,-73.957075,40.67428
50899,48-50 West 119 St HDFC,48-50 West 119 St HDFC,Housing,48-50 West 119 St HDFC,48 West 119 St,,,,,,,,,,-73.946643,40.803236
50900,16 Maujer Street HDFC,16 Maujer Street HDFC,Housing,16 Maujer Street HDFC,16 Maujer St,,,,,,,,,,-73.95014,40.71027
50901,252 Heyward Street HDFC,252 Heyward Street HDFC,Housing,252 Heyward Street HDFC,252 Heyward St,,,,,,,,,,-73.951511,40.704645
50902,2247 Hughes Avenue HDFC,2247 Hughes Avenue HDFC,Housing,2247 Hughes Avenue HDFC,2247 Hughes Ave,,,,,,,,,,-73.888557,40.851843
50903,527 West 151 St HDFC,527 West 151 St HDFC,Housing,527 West 151 St HDFC,527 West 151 St,,,,,,,,,,-73.94624,40.829641
50904,166 West 122 St HDFC,166 West 122 St HDFC,Housing,166 West 122 St HDFC,166 West 122 St,,,,,,,,,,-73.949385,40.806859
50905,2130 Tiebout Ave HDFC,2130 Tiebout Ave HDFC,Housing,2130 Tiebout Ave HDFC,2130 Tiebout Avenue,,,,,,,,,,-73.898456,40.853622
50906,676 East 179 Street HDFC,676 East 179 Street HDFC,Housing,676 East 179 Street HDFC,676 East 179 St,,,,,,,,,,-73.890278,40.846916
50907,3405-7 Broadway HDFC,3405-7 Broadway HDFC,Housing,3405-7 Broadway HDFC,3405 Broadway,,,,,,,,,,-73.953651,40.822251
50908,72 Clinton HDFC,72 Clinton HDFC,Housing,72 Clinton HDFC,72 Clinton St,,,,,,,,,,-73.984972,40.719207
50909,451 West 48 Street HDFC,451 West 48 Street HDFC,Housing,451 West 48 Street HDFC,451 West 48 St,,,,,,,,,,-73.992154,40.763244
50910,558-60 West 148 St HDFC,558-60 West 148 St HDFC,Housing,558-60 West 148 St HDFC,560 West 148 St,,,,,,,,,,-73.94837,40.828032
50911,699 Tenth Ave HDFC,699 Tenth Ave HDFC,Housing,699 Tenth Ave HDFC,699 Tenth Ave,,,,,,,,,,-73.99291,40.763201
50912,831 Fox Street HDFC,831 Fox Street HDFC,Housing,831 Fox Street HDFC,831 Fox St,,,,,,,,,,-73.896344,40.817521
50913,524 West 152 St HDFC,524 West 152 St HDFC,Housing,524 West 152 St HDFC,524 West 152 Street,,,,,,,,,,-73.945725,40.830192
50914,805 St. Johns Place HDFC,805 St. Johns Place HDFC,Housing,805 St. Johns Place HDFC,805 St John Place,,,,,,,,,,-73.951623,40.67181
50915,544 West 157 St HDFC,544 West 157 St HDFC,Housing,544 West 157 St HDFC,544-46 W 157 Street,,,,,,,,,,-73.944187,40.833734
50916,654 Tenth Avenue HDFC,654 Tenth Avenue HDFC,Housing,654 Tenth Avenue HDFC,654 Tenth Ave,,,,,,,,,,-73.993374,40.762206
50917,62-64 East 3 St HDFC,62-64 East 3 St HDFC,Housing,62-64 East 3 St HDFC,64 East 3 St,,,,,,,,,,-73.988946,40.725164
50918,145-47 West 105 Street HDFC,145-47 West 105 Street HDFC,Housing,145-47 West 105 Street HDFC,147 West 105 Street,,,,,,,,,,-73.965002,40.799293
50919,344 West 48 Street HDFC,344 West 48 Street HDFC,Housing,344 West 48 Street HDFC,344 West 48 St,,,,,,,,,,-73.988907,40.761799
50920,786 Ninth Avenue HDFC,786 Ninth Avenue HDFC,Housing,786 Ninth Avenue HDFC,786 Ninth Ave,,,,,,,,,,-73.987865,40.764919
50921,316 West 47 St HDFC,316 West 47 St HDFC,Housing,316 West 47 St HDFC,316 West 47 St,,,,,,,,,,-73.988495,40.760816
50922,976 Simpson St HDFC,976 Simpson St HDFC,Housing,976 Simpson St HDFC,976 Simpson Street,,,,,,,,,,-73.892854,40.822097
50923,470 West 153 St HDFC,470 West 153 St HDFC,Housing,470 West 153 St HDFC,470 West 153 St,,,,,,,,,,-73.943658,40.830122
50924,87 Stockholm St HDFC,87 Stockholm St HDFC,Housing,87 Stockholm St HDFC,87 Stockholm St,,,,,,,,,,-73.925148,40.697126
50925,50 West 106 Street HDFC,50 West 106 Street HDFC,Housing,50 West 106 Street HDFC,50 West 106 St,,,,,,,,,,-73.961752,40.798742
50926,37-12 Astoria Blvd HDFC,37-12 Astoria Blvd HDFC,Housing,37-12 Astoria Blvd HDFC,37-12 Astoria Blvd,,,,,,,,,,-73.912505,40.769074
50927,134 West 20th Street HDFC,134 West 20th Street HDFC,Housing,134 West 20th Street HDFC,134 W 20th St,,,,,,,,,,-73.995746,40.741668
50928,278 43 Street HDFC,278 43 Street HDFC,Housing,278 43 Street HDFC,278 43rd St,,,,,,,,,,-74.010891,40.651837
50929,2141 Prospect Avenue HDFC,2141 Prospect Avenue HDFC,Housing,2141 Prospect Avenue HDFC,2141 Prospect Avenue,,,,,,,,,,-73.885714,40.848282
50930,3175-77 Villa Avenue HDFC,3175-77 Villa Avenue HDFC,Housing,3175-77 Villa Avenue HDFC,3177 Villa Ave,,,,,,,,,,-73.886951,40.87648
50931,100-106 West 141st Street HDFC,100-106 West 141st Street HDFC,Housing,100-106 West 141st Street HDFC,100 West 141 St,,,,,,,,,,-73.93855,40.818052
50932,604 East 17 Street HDFC,604 East 17 Street HDFC,Housing,604 East 17 Street HDFC,604 East 17 St,,,,,,,,,,-73.961505,40.635864
50933,465 West 46 Street HDFC,465 West 46 Street HDFC,Housing,465 West 46 Street HDFC,465 West 46 St,,,,,,,,,,-73.993143,40.762022
50934,307 West 107 Street HDFC,307 West 107 Street HDFC,Housing,307 West 107 Street HDFC,307 West 107 St,,,,,,,,,,-73.968715,40.802612
50935,379 Hancock Street HDFC,379 Hancock Street HDFC,Housing,379 Hancock Street HDFC,379 Hancock St,,,,,,,,,,-73.940805,40.68362
50936,104 Division Avenue HDFC,104 Division Avenue HDFC,Housing,104 Division Avenue HDFC,104 Division Ave,,,,,,,,,,-73.963705,40.707603
50937,243F Mulberry St HDFC,243F Mulberry St HDFC,Housing,243F Mulberry St HDFC,243F Mulberry St,,,,,,,,,,-73.995966,40.72297
50938,312 West 49th Street HDFC,312 West 49th Street HDFC,Housing,312 West 49th Street HDFC,312 West 49th Street,,,,,,,,,,-73.987506,40.762037
50939,36-38 Hawthorne St HDFC,36-38 Hawthorne St HDFC,Housing,36-38 Hawthorne St HDFC,36 Hawthorne St,,,,,,,,,,-73.958935,40.657263
50940,537 East 6 Street HDFC,537 East 6 Street HDFC,Housing,537 East 6 Street HDFC,537 East 6 St,,,,,,,,,,-73.982175,40.724744
50941,31 Kingsland Avenue HDFC,31 Kingsland Avenue HDFC,Housing,31 Kingsland Avenue HDFC,31 Kingsland Ave,,,,,,,,,,-73.940286,40.717245
50942,185-87 West 80 Street HDFC,185-87 West 80 Street HDFC,Housing,185-87 West 80 Street HDFC,185-87 West 80th Street,,,,,,,,,,-73.977513,40.783734
50943,98-100 Avenue C HDFC,98-100 Avenue C HDFC,Housing,98-100 Avenue C HDFC,98-100 Avenue C,,,,,,,,,,-73.978963,40.723884
50944,The Crossroads HDFC,The Crossroads HDFC,Housing,The Crossroads HDFC,326 West 43 Street,,,,,,,,,,-73.990635,40.758443
50945,463 Classon Avenue  HDFC,463 Classon Avenue  HDFC,Housing,463 Classon Avenue  HDFC,463 Classon Ave,,,,,,,,,,-73.959173,40.684815
50946,182-4 Conselyea Street HDFC,182-4 Conselyea Street HDFC,Housing,182-4 Conselyea Street HDFC,182 Conselyea St,,,,,,,,,,-73.943602,40.715284
50947,Alborada Group HDFC,Alborada Group HDFC,Housing,Alborada Group HDFC,11 West 107 St,,,,,,,,,,-73.960258,40.799053
50948,129-31 Bedford Ave HDFC,129-31 Bedford Ave HDFC,Housing,129-31 Bedford Ave HDFC,129 Bedford Ave,,,,,,,,,,-73.956036,40.719358
50949,972 Anderson Ave HDFC,972 Anderson Ave HDFC,Housing,972 Anderson Ave HDFC,972 Anderson Ave,,,,,,,,,,-73.927499,40.831826
50950,340 St Marks Avenue  HDFC,340 St Marks Avenue  HDFC,Housing,340 St Marks Avenue  HDFC,340 St Marks Ave,,,,,,,,,,-73.964399,40.677561
50951,200 West 112 St HDFC,200 West 112 St HDFC,Housing,200 West 112 St HDFC,200 West 112 St,,,,,,,,,,-73.954815,40.800806
50952,342 East 100 St HDFC,342 East 100 St HDFC,Housing,342 East 100 St HDFC,342 East 100 St,,,,,,,,,,-73.943217,40.785934
50953,469 West 166 St HDFC,469 West 166 St HDFC,Housing,469 West 166 St HDFC,469 West 166 St,,,,,,,,,,-73.93758,40.838377
50954,1113-17 Grant Avenue HDFC,1113-17 Grant Avenue HDFC,Housing,1113-17 Grant Avenue HDFC,1117 Grant Ave,,,,,,,,,,-73.916414,40.831197
50955,281 Classon Avenue HDFC,281 Classon Avenue HDFC,Housing,281 Classon Avenue HDFC,281 Classon Ave,,,,,,,,,,-73.96047,40.691301
50956,10 St Nicholas Terrace HDFC,10 St Nicholas Terrace HDFC,Housing,10 St Nicholas Terrace HDFC,10 St Nicholas Terrace,,,,,,,,,,-73.951767,40.812759
50957,1513-15 West 7th Street HDFC,1513-15 West 7th Street HDFC,Housing,1513-15 West 7th Street HDFC,1513-15 West 7 St,,,,,,,,,,-73.981065,40.610088
50958,1116 Hoe Avenue HDFC,1116 Hoe Avenue HDFC,Housing,1116 Hoe Avenue HDFC,1116 Hoe Avenue,,,,,,,,,,-73.890867,40.826563
50959,236-8 New Jersey Avenue HDFC,236-8 New Jersey Avenue HDFC,Housing,236-8 New Jersey Avenue HDFC,236-8 New Jersey Ave,,,,,,,,,,-73.895365,40.673889
50960,470 Convent Ave HDFC,470 Convent Ave HDFC,Housing,470 Convent Ave HDFC,470 Convent Ave,,,,,,,,,,-73.943411,40.828284
50961,664 West 161 Street HDFC,664 West 161 Street HDFC,Housing,664 West 161 Street HDFC,664 W 161 Street,,,,,,,,,,-73.94551,40.837561
50962,702 East 5th Street HDFC,702 East 5th Street HDFC,Housing,702 East 5th Street HDFC,702 East 5 St,,,,,,,,,,-73.979505,40.722762
50963,36 Convent Avenue HDFC,36 Convent Avenue HDFC,Housing,36 Convent Avenue HDFC,36 Convent Ave,,,,,,,,,,-73.953225,40.814244
50964,1346 Eastern Parkway HDFC,1346 Eastern Parkway HDFC,Housing,1346 Eastern Parkway HDFC,1346 Eastern Pkway,,,,,,,,,,-73.923706,40.668159
50965,157 West 123rd Street HDFC,157 West 123rd Street HDFC,Housing,157 West 123rd Street HDFC,157 W 123 Street,,,,,,,,,,-73.948889,40.807534
50966,265 Lee Avenue HDFC,265 Lee Avenue HDFC,Housing,265 Lee Avenue HDFC,265 Lee Ave,,,,,,,,,,-73.953647,40.699916
50967,993 Amsterdam Ave HDFC,993 Amsterdam Ave HDFC,Housing,993 Amsterdam Ave HDFC,993 Amsterdam Ave,,,,,,,,,,-73.964375,40.802227
50968,200-02 Kingsland Ave HDFC,200-02 Kingsland Ave HDFC,Housing,200-02 Kingsland Ave HDFC,200 Kingsland Ave,,,,,,,,,,-73.941296,40.723677
50969,484 West 165 St HDFC,484 West 165 St HDFC,Housing,484 West 165 St HDFC,484 West 165 Street,,,,,,,,,,-73.937989,40.837692
50970,Beck St Court HDFC,Beck St Court HDFC,Housing,Beck St Court HDFC,838 Beck St,,,,,,,,,,-73.896942,40.818016
50971,153 South 4 Street HDFC,153 South 4 Street HDFC,Housing,153 South 4 Street HDFC,153 South 4 St,,,,,,,,,,-73.962029,40.711589
50972,15 East 126 St HDFC,15 East 126 St HDFC,Housing,15 East 126 St HDFC,15 E 126th Street,,,,,,,,,,-73.94099,40.806796
50973,534 West 46 Street HDFC,534 West 46 Street HDFC,Housing,534 West 46 Street HDFC,534 West 46 St,,,,,,,,,,-73.995024,40.762742
50974,863 Grand Street HDFC,863 Grand Street HDFC,Housing,863 Grand Street HDFC,863 Grand St,,,,,,,,,,-73.939313,40.712303
50975,220 East 10 Street HDFC,220 East 10 Street HDFC,Housing,220 East 10 Street HDFC,220 East 10 St,,,,,,,,,,-73.9857,40.729281
50976,1001 Anderson Avenue HDFC,1001 Anderson Avenue HDFC,Housing,1001 Anderson Avenue HDFC,1001 Anderson Ave,,,,,,,,,,-73.927346,40.832262
50977,419-27 West 147 Street HDFC,419-27 West 147 Street HDFC,Housing,419-27 West 147 Street HDFC,419 West 147 St,,,,,,,,,,-73.944465,40.825641
50978,426 East 149 Street HDFC,426 East 149 Street HDFC,Housing,426 East 149 Street HDFC,426 East 149 St,,,,,,,,,,-73.916421,40.81551
50979,104-05 37 Drive HDFC,104-05 37 Drive HDFC,Housing,104-05 37 Drive HDFC,104-05 37th Drive,,,,,,,,,,-73.862726,40.752323
50980,660 St Nicholas Ave HDFC,660 St Nicholas Ave HDFC,Housing,660 St Nicholas Ave HDFC,660 St Nicholas Ave,,,,,,,,,,-73.945314,40.822461
50981,444-451 Orange Buildings HDFC,444-451 Orange Buildings HDFC,Housing,444-451 Orange Buildings HDFC,451 West 166 St,,,,,,,,,,-73.936609,40.837979
50982,45-53 West 110 St HDFC,45-53 West 110 St HDFC,Housing,45-53 West 110 St HDFC,45-53 West 110 St,,,,,,,,,,-73.951432,40.797841
50983,515 West 143 St HDFC,515 West 143 St HDFC,Housing,515 West 143 St HDFC,515 W 143 St,,,,,,,,,,-73.949807,40.824498
50984,1151 Vyse Avenue HDFC,1151 Vyse Avenue HDFC,Housing,1151 Vyse Avenue HDFC,1151 Vyse Ave,,,,,,,,,,-73.89002,40.827732
50985,645 Barretto Street HDFC,645 Barretto Street HDFC,Housing,645 Barretto Street HDFC,645 Barretto St.,,,,,,,,,,-73.889159,40.813628
50986,75 Linden St HDFC,75 Linden St HDFC,Housing,75 Linden St HDFC,75 Linden St,,,,,,,,,,-73.920715,40.692118
50987,2120 Mapes Avenue HDFC,2120 Mapes Avenue HDFC,Housing,2120 Mapes Avenue HDFC,2120 Mapes Ave,,,,,,,,,,-73.885061,40.847143
50988,325 West 43rd Street HDFC,325 West 43rd Street HDFC,Housing,325 West 43rd Street HDFC,325 West 43rd Street,,,,,,,,,,-73.990498,40.758446
50989,1993 Amsterdam Ave HDFC,1993 Amsterdam Ave HDFC,Housing,1993 Amsterdam Ave HDFC,1993 Amsterdam Avenue,,,,,,,,,,-73.941238,40.833905
50990,319 Berriman Street HDFC,319 Berriman Street HDFC,Housing,319 Berriman Street HDFC,319 Berriman St,,,,,,,,,,-73.878961,40.670688
50991,942 Columbus Avenue HDFC,942 Columbus Avenue HDFC,Housing,942 Columbus Avenue HDFC,942 Columbus Ave,,,,,,,,,,-73.962769,40.799437
50992,1160 President Street HDFC,1160 President Street HDFC,Housing,1160 President Street HDFC,1160 President St,,,,,,,,,,-73.952005,40.668111
50993,134 Eldridge St HDFC,134 Eldridge St HDFC,Housing,134 Eldridge St HDFC,134 Eldridge St,,,,,,,,,,-73.991533,40.718937
50994,2039 Hughes Avenue HDFC,2039 Hughes Avenue HDFC,Housing,2039 Hughes Avenue HDFC,2039 Hughes Ave,,,,,,,,,,-73.890843,40.848343
50995,270 East 162 St HDFC,270 East 162 St HDFC,Housing,270 East 162 St HDFC,270 East 162 Street,,,,,,,,,,-73.917664,40.826403
50996,1801-05 7th Ave HDFC,1801-05 7th Ave HDFC,Housing,1801-05 7th Ave HDFC,1801 Seventh Ave,,,,,,,,,,-73.955114,40.799417
50997,176 Grand Street Ext. HDFC,176 Grand Street Ext. HDFC,Housing,176 Grand Street Ext. HDFC,176 Borinquen Place,,,,,,,,,,-73.953513,40.710582
50998,361 West 121 Street HDFC,361 West 121 Street HDFC,Housing,361 West 121 Street HDFC,361 W 121 Street,,,,,,,,,,-73.955543,40.808698
50999,109 West 111th Street HDFC,109 West 111th Street HDFC,Housing,109 West 111th Street HDFC,109 West 111 Street,,,,,,,,,,-73.952822,40.799199
51000,223-25 East 4 Street HDFC,223-25 East 4 Street HDFC,Housing,223-25 East 4 Street HDFC,225 East 4 St,,,,,,,,,,-73.983163,40.723576
51001,Merengue Gaucho HDFC,Merengue Gaucho HDFC,Housing,Merengue Gaucho HDFC,985 Amsterdam Ave,,,,,,,,,,-73.964546,40.801984
51002,235 East 121 St HDFC,235 East 121 St HDFC,Housing,235 East 121 St HDFC,235 East 121 St,,,,,,,,,,-73.936271,40.800576
51003,610-12 East 5 St HDFC,610-12 East 5 St HDFC,Housing,610-12 East 5 St HDFC,610-12 East 5 St,,,,,,,,,,-73.981475,40.723604
51004,238 West 106 Street HDFC,238 West 106 Street HDFC,Housing,238 West 106 Street HDFC,238 West 106 St,,,,,,,,,,-73.966861,40.800889
51005,566-68 West 159 Street HDFC,566-68 West 159 Street HDFC,Housing,566-68 West 159 Street HDFC,566 West 159th Street,,,,,,,,,,-73.943207,40.834957
51006,78-80 East 127 Street HDFC,78-80 East 127 Street HDFC,Housing,78-80 East 127 Street HDFC,78-80 East 127 Street,,,,,,,,,,-73.938636,40.806559
51007,626 East 9 Street HDFC,626 East 9 Street HDFC,Housing,626 East 9 Street HDFC,626 East 9 St,,,,,,,,,,-73.979176,40.725767
51008,Garden Court HDFC,Garden Court HDFC,Housing,Garden Court HDFC,208 West 119 St,,,,,,,,,,-73.952083,40.805532
51009,484 Convent Ave HDFC,484 Convent Ave HDFC,Housing,484 Convent Ave HDFC,484 Convent Ave,,,,,,,,,,-73.942891,40.828476
51010,270 Convent Avenue HDFC,270 Convent Avenue HDFC,Housing,270 Convent Avenue HDFC,270 Convent Avenue,,,,,,,,,,-73.948208,40.821984
51011,Olinville Manor HDFC,Olinville Manor HDFC,Housing,Olinville Manor HDFC,3215 Olinville Ave,,,,,,,,,,-73.868271,40.871966
51012,2676 Decatur Avenue HDFC,2676 Decatur Avenue HDFC,Housing,2676 Decatur Avenue HDFC,2676 Decatur Ave,,,,,,,,,,-73.889015,40.864611
51013,167-69 Allen Street HDFC,167-69 Allen Street HDFC,Housing,167-69 Allen Street HDFC,169 Allen St,,,,,,,,,,-73.989471,40.721319
51014,549 West 163 St HDFC,549 West 163 St HDFC,Housing,549 West 163 St HDFC,549 West 163 St,,,,,,,,,,-73.941486,40.83755
51015,504-6 West 139 Street HDFC,504-6 West 139 Street HDFC,Housing,504-6 West 139 Street HDFC,504 W 139th St,,,,,,,,,,-73.950956,40.821664
51016,1015 Summit Ave HDFC,1015 Summit Ave HDFC,Housing,1015 Summit Ave HDFC,1015 Summit Avenue,,,,,,,,,,-73.929957,40.833692
51017,117-119 Grand Street HDFC,117-119 Grand Street HDFC,Housing,117-119 Grand Street HDFC,119 Grand St,,,,,,,,,,-73.963064,40.715244
51018,547-49 East 12 Street HDFC,547-49 East 12 Street HDFC,Housing,547-49 East 12 Street HDFC,PO Box 20835,,,,,,,,,,-73.979299,40.728255
51019,Tenants of 414 East 10th Street HDFC,Tenants of 414 East 10th Street HDFC,Housing,Tenants of 414 East 10th Street HDFC,414 East 10th,,,,,,,,,,-73.976783,40.725527
51020,36-40 West 138 St HDFC,36-40 West 138 St HDFC,Housing,36-40 West 138 St HDFC,36 West 138 St,,,,,,,,,,-73.937871,40.815325
51021,1228-30 Pacific Street HDFC,1228-30 Pacific Street HDFC,Housing,1228-30 Pacific Street HDFC,1228-30 Pacific Street,,,,,,,,,,-73.951146,40.677695
51022,952 St Marks Avenue HDFC,952 St Marks Avenue HDFC,Housing,952 St Marks Avenue HDFC,952 St Marks Ave,,,,,,,,,,-73.94036,40.674519
51023,1346 Park Place HDFC,1346 Park Place HDFC,Housing,1346 Park Place HDFC,1346 Park Place,,,,,,,,,,-73.932822,40.672439
51024,115 Linden St HDFC,115 Linden St HDFC,Housing,115 Linden St HDFC,115 Linden St,,,,,,,,,,-73.919638,40.693223
51025,177 West 83 Street HDFC,177 West 83 Street HDFC,Housing,177 West 83 Street HDFC,177 West 83 St,,,,,,,,,,-73.975959,40.78557
51026,521 West 135 St HDFC,521 West 135 St HDFC,Housing,521 West 135 St HDFC,521 West 135 St,,,,,,,,,,-73.953739,40.819562
51027,425 East 153 Street HDFC,425 East 153 Street HDFC,Housing,425 East 153 Street HDFC,425 East 153 St,,,,,,,,,,-73.915499,40.818648
51028,16 Morningside Ave HDFC,16 Morningside Ave HDFC,Housing,16 Morningside Ave HDFC,16 Morningside Ave,,,,,,,,,,-73.958246,40.805185
51029,Greenhouse Artists Residence HDFC,Greenhouse Artists Residence HDFC,Housing,Greenhouse Artists Residence HDFC,527 East 5 St,,,,,,,,,,-73.983101,40.724341
51030,136 NOW UNITED HDFC,136 NOW UNITED HDFC,Housing,136 NOW UNITED HDFC,136 West 168 Street,,,,,,,,,,-73.925572,40.838403
51031,523 East 5 St HDFC,523 East 5 St HDFC,Housing,523 East 5 St HDFC,523 East 5 Street,,,,,,,,,,-73.983259,40.724404
51032,350-52 South 4th Street HDFC,350-52 South 4th Street HDFC,Housing,350-52 South 4th Street HDFC,350 South 4th Street,,,,,,,,,,-73.953988,40.708595
51033,490 East 181 Street HDFC,490 East 181 Street HDFC,Housing,490 East 181 Street HDFC,490 East 181 St,,,,,,,,,,-73.894593,40.852008
51034,595 Franklin Ave HDFC,595 Franklin Ave HDFC,Housing,595 Franklin Ave HDFC,595 Franklin Avenue,,,,,,,,,,-73.955267,40.678044
51035,428 East 157 Street HDFC,428 East 157 Street HDFC,Housing,428 East 157 Street HDFC,428 East 157 St,,,,,,,,,,-73.914081,40.821308
51036,2015 Grand Avenue HDFC,2015 Grand Avenue HDFC,Housing,2015 Grand Avenue HDFC,2015 Grand Ave,,,,,,,,,,-73.91006,40.853309
51037,323-29 Edgecombe Ave HDFC,323-29 Edgecombe Ave HDFC,Housing,323-29 Edgecombe Ave HDFC,323 Edgecombe Ave,,,,,,,,,,-73.942444,40.825639
51038,212 West 105 St HDFC,212 West 105 St HDFC,Housing,212 West 105 St HDFC,212 West 105 Street,,,,,,,,,,-73.966825,40.799998
51039,2460 Seventh Ave HDFC,2460 Seventh Ave HDFC,Housing,2460 Seventh Ave HDFC,2460 Seventh Ave,,,,,,,,,,-73.940037,40.820562
51040,88 16th Street HDFC,88 16th Street HDFC,Housing,88 16th Street HDFC,88 16 St,,,,,,,,,,-73.993137,40.666535
51041,1855 Seventh Avenue HDFC,1855 Seventh Avenue HDFC,Housing,1855 Seventh Avenue HDFC,1855 Seventh Ave,,,,,,,,,,-73.953693,40.801354
51042,721 Van Siclen Ave HDFC,721 Van Siclen Ave HDFC,Housing,721 Van Siclen Ave HDFC,221-10 Jamaica Ave ***add C/O*,,,,,,,,,,-73.892811,40.680411
51043,3692 Broadway HDFC,3692 Broadway HDFC,Housing,3692 Broadway HDFC,3692 Broadway,,,,,,,,,,-73.946829,40.83118
51044,1069 Teller Avenue HDFC,1069 Teller Avenue HDFC,Housing,1069 Teller Avenue HDFC,1069 Teller Avenue,,,,,,,,,,-73.913438,40.829229
51045,1160 Colgate Avenue HDFC,1160 Colgate Avenue HDFC,Housing,1160 Colgate Avenue HDFC,1160 Colgate Ave,,,,,,,,,,-73.881842,40.827867
51046,371 Edgecombe Avenue HDFC,371 Edgecombe Avenue HDFC,Housing,371 Edgecombe Avenue HDFC,371 Edgecombe Ave,,,,,,,,,,-73.940832,40.82784
51047,820-24 St Nicholas Ave HDFC,820-24 St Nicholas Ave HDFC,Housing,820-24 St Nicholas Ave HDFC,820-24 St Nicholas Ave,,,,,,,,,,-73.942425,40.828075
51048,730-4 57th Street HDFC,730-4 57th Street HDFC,Housing,730-4 57th Street HDFC,730 57th St,,,,,,,,,,-74.009197,40.637999
51049,1230 Boston Road HDFC,1230 Boston Road HDFC,Housing,1230 Boston Road HDFC,1230 Boston Road,,,,,,,,,,-73.901376,40.830317
51050,102 Avenue B Homesteaders HDFC,102 Avenue B Homesteaders HDFC,Housing,102 Avenue B Homesteaders HDFC,102 Avenue B,,,,,,,,,,-73.981459,40.72478
51051,143-45 Wadsworth Avenue HDFC,143-45 Wadsworth Avenue HDFC,Housing,143-45 Wadsworth Avenue HDFC,143 Wadsworth Ave,,,,,,,,,,-73.935266,40.849378
51052,414 61st Street HDFC,414 61st Street HDFC,Housing,414 61st Street HDFC,414 61st Street,,,,,,,,,,-74.018498,40.639901
51053,1776 Topping Ave HDFC,1776 Topping Ave HDFC,Housing,1776 Topping Ave HDFC,1776 Topping Ave,,,,,,,,,,-73.905609,40.846149
51054,170 West 85 Street HDFC,170 West 85 Street HDFC,Housing,170 West 85 Street HDFC,170 West 85 St,,,,,,,,,,-73.975124,40.786808
51055,1152 Pacific Street HDFC,1152 Pacific Street HDFC,Housing,1152 Pacific Street HDFC,1152 Pacific St,,,,,,,,,,-73.953993,40.678065
51056,114 Suffolk St HDFC,114 Suffolk St HDFC,Housing,114 Suffolk St HDFC,114 Suffolk St,,,,,,,,,,-73.986095,40.71893
51057,132 West 113 Street HDFC,132 West 113 Street HDFC,Housing,132 West 113 Street HDFC,132 West 113 Street,,,,,,,,,,-73.952892,40.800819
51058,400 West 148 Street HDFC,400 West 148 Street HDFC,Housing,400 West 148 Street HDFC,400 West 148 St,,,,,,,,,,-73.943694,40.826063
51059,83 Clay Street HDFC,83 Clay Street HDFC,Housing,83 Clay Street HDFC,83 Clay St,,,,,,,,,,-73.954501,40.736678
51060,217 Kingsland Avenue HDFC,217 Kingsland Avenue HDFC,Housing,217 Kingsland Avenue HDFC,217 Kingsland Ave,,,,,,,,,,-73.941408,40.724028
51061,535-37 West 160 St HDFC,535-37 West 160 St HDFC,Housing,535-37 West 160 St HDFC,535 W 160 St,,,,,,,,,,-73.942298,40.835449
51062,519-21 West 160 Street HDFC,519-21 West 160 Street HDFC,Housing,519-21 West 160 Street HDFC,519 West 160 Street,,,,,,,,,,-73.941745,40.835215
51063,414 West 134 St HDFC,414 West 134 St HDFC,Housing,414 West 134 St HDFC,414 East 134 St,,,,,,,,,,-73.924033,40.806211
51064,172 Delancey St HDFC,172 Delancey St HDFC,Housing,172 Delancey St HDFC,172 Delancey St,,,,,,,,,,-73.985189,40.717808
51065,290 East 2 St HDFC,290 East 2 St HDFC,Housing,290 East 2 St HDFC,290 East 2 St,,,,,,,,,,-73.979741,40.720459
51066,557 West 140 Street HDFC,557 West 140 Street HDFC,Housing,557 West 140 Street HDFC,557 West 140 St,,,,,,,,,,-73.951839,40.82291
51067,916 East 223 Street HDFC,916 East 223 Street HDFC,Housing,916 East 223 Street HDFC,1307 Intervale Ave,,,,,,,,,,-73.89327,40.830508
51068,1020 Tiffany Street HDFC,1020 Tiffany Street HDFC,Housing,1020 Tiffany Street HDFC,1020 Tiffany Street,,,,,,,,,,-73.894836,40.824147
51069,226 West 111 St HDFC,226 West 111 St HDFC,Housing,226 West 111 St HDFC,226 W 111 St,,,,,,,,,,-73.956526,40.800706
51070,2167 Crotona Avenue HDFC,2167 Crotona Avenue HDFC,Housing,2167 Crotona Avenue HDFC,2167 Crotona Ave,,,,,,,,,,-73.886855,40.850013
51071,111 South 3 St HDFC,111 South 3 St HDFC,Housing,111 South 3 St HDFC,111 South 3 Street,,,,,,,,,,-73.963123,40.71275
51072,242-44 South 2 Street HDFC,242-44 South 2 Street HDFC,Housing,242-44 South 2 Street HDFC,242 South 2 St,,,,,,,,,,-73.958239,40.71182
